session_id,honeypot,timestamp,src_ip,country,protocol,login_attempts,login_success,command_count,session_duration_s,connection_count,unique_ports,has_wget_curl,has_reverse_shell,has_recon_commands,has_file_download,has_shellcode,rotulo_revisor1,rotulo_revisor2,inconclusivo,observacao
7cfd5884b327,cowrie,2026-09-09T03:17:58.120857Z,42.231.41.81,China,,1,0,0,1.333,0,0,0,0,0,0,0,,,,
355c539a1d99,cowrie,2026-09-09T03:18:17.565133Z,42.231.41.81,China,,1,0,0,4.203,0,0,0,0,0,0,0,,,,
dc787b97fd60,cowrie,2026-09-09T03:37:30.004949Z,34.53.237.63,Belgium,,0,0,0,14.0,0,0,0,0,0,0,0,,,,
3fa5b157c344,cowrie,2026-09-09T04:15:44.339832Z,34.62.237.199,Belgium,,0,0,0,6.209,0,0,0,0,0,0,0,,,,
65356a14ae25,cowrie,2026-09-09T05:37:55.946246Z,72.255.37.25,Pakistan,,0,1,9,1.34,0,0,0,0,0,0,0,,,,
016f127033f8,cowrie,2026-09-09T07:01:51.819689Z,59.103.100.53,Pakistan,,0,1,9,1.99,0,0,0,0,0,0,0,,,,
3f6bc98ec668,cowrie,2026-09-09T07:02:34.315585Z,59.103.100.53,Pakistan,,1,0,0,1.474,0,0,0,0,0,0,0,,,,
f780731d382b,cowrie,2026-09-09T07:02:36.126961Z,59.103.100.53,Pakistan,,1,0,0,1.265,0,0,0,0,0,0,0,,,,
00e35e33efdd,cowrie,2026-09-09T10:40:33.133144Z,184.105.247.194,United States,,0,0,0,0.069,0,0,0,0,0,0,0,,,,
6874b24f8d68,cowrie,2026-09-09T10:46:37.590046Z,139.135.46.244,Pakistan,,1,0,0,1.166,0,0,0,0,0,0,0,,,,
4dba082704d5,cowrie,2026-09-09T10:46:38.996494Z,139.135.46.244,Pakistan,,0,1,9,1.39,0,0,0,0,0,0,0,,,,
0b47f6b97d06,cowrie,2026-09-09T14:22:09.957888Z,216.244.199.249,Argentina,,0,0,0,10.369,0,0,0,0,0,0,0,,,,
4e06644a556b,cowrie,2026-09-09T16:00:11.721455Z,200.74.120.130,Chile,,0,0,0,11.97,0,0,0,0,0,0,0,,,,
97120040ead6,cowrie,2026-09-09T18:38:07.098470Z,66.132.195.85,United States,,0,0,0,15.685,0,0,0,0,0,0,0,,,,
a68f08cd5740,cowrie,2026-09-09T19:13:04.459968Z,18.97.5.116,United States,,0,0,0,5.002,0,0,0,0,0,0,0,,,,
d523cdabc6a7,cowrie,2026-09-09T22:52:09.897826Z,183.131.109.163,China,,0,0,0,10.457,0,0,0,0,0,0,0,,,,
1f7202dba87e,cowrie,2026-09-10T00:30:17.271394Z,118.196.86.191,China,,0,1,0,6.475,0,0,0,0,0,0,0,,,,
8c936e849ea4,cowrie,2026-09-10T01:43:40.216783Z,94.231.182.121,Ukraine,,0,0,0,11.047,0,0,0,0,0,0,0,,,,
8a0b92e79d86,cowrie,2026-09-10T02:52:37.779717Z,109.160.32.110,United States,,0,1,1,1.467,0,0,0,0,1,0,0,,,,
a4d67c7e2552,cowrie,2026-09-10T02:54:37.272779Z,109.160.32.110,United States,,1,0,0,1.763,0,0,0,0,0,0,0,,,,
f1403de7c235,cowrie,2026-09-10T02:55:19.673257Z,109.160.32.110,United States,,1,0,0,1.754,0,0,0,0,0,0,0,,,,
d219e699999b,cowrie,2026-09-10T05:33:35.579774Z,103.31.93.133,Pakistan,,1,0,0,1.15,0,0,0,0,0,0,0,,,,
bea2d0b385b3,cowrie,2026-09-10T05:33:42.437965Z,103.31.93.133,Pakistan,,1,0,0,1.147,0,0,0,0,0,0,0,,,,
6d377cd711f4,cowrie,2026-09-10T05:33:54.913968Z,103.31.93.133,Pakistan,,1,0,0,1.158,0,0,0,0,0,0,0,,,,
d95ad9d40a14,cowrie,2026-09-10T06:55:33.910319Z,194.187.179.236,United States,,0,0,0,0.211,0,0,0,0,0,0,0,,,,
d6accf78b027,cowrie,2026-09-10T09:13:04.115757Z,41.111.172.25,Algeria,,0,1,0,1.763,0,0,0,0,0,0,0,,,,
70855ab4e280,cowrie,2026-09-10T09:36:45.946188Z,182.190.219.197,Pakistan,,1,0,0,2.52,0,0,0,0,0,0,0,,,,
dc9ae06dbc5e,cowrie,2026-09-10T09:44:06.743389Z,175.107.233.201,Pakistan,,1,0,0,1.25,0,0,0,0,0,0,0,,,,
b83bb7aed82a,cowrie,2026-09-10T09:44:33.676569Z,175.107.233.201,Pakistan,,0,1,9,1.438,0,0,0,0,0,0,0,,,,
421e370cd91c,cowrie,2026-09-10T09:44:56.167013Z,175.107.233.201,Pakistan,,1,0,0,1.209,0,0,0,0,0,0,0,,,,
7d5e0be65621,cowrie,2026-09-10T11:30:18.642608Z,109.160.32.78,United States,,1,0,0,8.937,0,0,0,0,0,0,0,,,,
ce9fd2b832e1,cowrie,2026-09-10T11:32:36.804341Z,109.160.32.78,United States,,1,0,0,3.043,0,0,0,0,0,0,0,,,,
7cf89f1f58ca,cowrie,2026-09-10T11:34:45.287132Z,109.160.32.78,United States,,1,0,0,2.638,0,0,0,0,0,0,0,,,,
80b60da6b62e,cowrie,2026-09-10T12:49:44.859982Z,202.70.139.212,Pakistan,,1,0,0,1.188,0,0,0,0,0,0,0,,,,
1daf54b07b81,cowrie,2026-09-10T13:08:09.028493Z,2.182.114.53,Iran,,0,1,9,5.841,0,0,0,0,0,0,0,,,,
319b738685be,cowrie,2026-09-10T13:08:34.766340Z,2.182.114.53,Iran,,1,0,0,1.393,0,0,0,0,0,0,0,,,,
189.126.217.80-2026-09-06T02:58:51.223029,dionaea,2026-09-06T02:58:51.223029,189.126.217.80,Brazil,smbd,3,0,0,6.12,12,4,0,0,0,0,0,,,,
8.209.108.11-2026-09-06T04:33:20.111303,dionaea,2026-09-06T04:33:20.111303,8.209.108.11,Germany,ftpd,0,0,0,0.0,1,1,0,0,0,0,0,,,,
151.245.151.79-2026-09-06T07:32:32.456270,dionaea,2026-09-06T07:32:32.456270,151.245.151.79,Czechia,httpd,0,0,0,0.0,1,1,0,0,0,0,0,,,,
35.198.217.171-2026-09-06T07:38:51.415349,dionaea,2026-09-06T07:38:51.415349,35.198.217.171,Singapore,httpd,0,0,0,33.05,621,1,0,0,0,0,0,,,,
54.158.153.149-2026-09-06T08:42:28.557807,dionaea,2026-09-06T08:42:28.557807,54.158.153.149,United States,httpd,0,0,0,0.0,1,1,0,0,0,0,0,,,,
195.20.5.50-2026-09-06T12:07:42.252516,dionaea,2026-09-06T12:07:42.252516,195.20.5.50,Ukraine,mssqld,2,0,0,0.623,2,1,0,0,0,0,0,,,,
190.145.231.14-2026-09-06T15:51:09.333612,dionaea,2026-09-06T15:51:09.333612,190.145.231.14,Colombia,mssqld,1,0,0,0.0,1,1,0,0,0,0,0,,,,
199.45.155.81-2026-09-06T17:04:27.091588,dionaea,2026-09-06T17:04:27.091588,199.45.155.81,Hong Kong,httpd,0,0,0,72.523,8,1,0,0,0,0,0,,,,
137.184.47.214-2026-09-06T17:50:54.671816,dionaea,2026-09-06T17:50:54.671816,137.184.47.214,United States,httpd,0,0,0,0.0,1,1,0,0,0,0,0,,,,
213.209.159.115-2026-09-06T18:32:53.226785,dionaea,2026-09-06T18:32:53.226785,213.209.159.115,Germany,mysqld,156,0,0,59.618,156,1,0,0,0,0,0,,,,
198.235.24.162-2026-09-06T18:36:25.527807,dionaea,2026-09-06T18:36:25.527807,198.235.24.162,United States,smbd,0,0,0,0.391,3,1,0,0,0,0,0,,,,
66.132.172.137-2026-09-06T19:53:27.628074,dionaea,2026-09-06T19:53:27.628074,66.132.172.137,United States,httpd,0,0,0,70.396,7,1,0,0,0,0,0,,,,
34.130.196.68-2026-09-06T21:58:31.339992,dionaea,2026-09-06T21:58:31.339992,34.130.196.68,Canada,httpd,0,0,0,83.921,262,1,0,0,0,0,0,,,,
185.241.208.93-2026-09-07T01:03:12.474045,dionaea,2026-09-07T01:03:12.474045,185.241.208.93,Poland,httpd,0,0,0,0.0,1,1,0,0,0,0,0,,,,
205.210.31.135-2026-09-07T01:21:42.126351,dionaea,2026-09-07T01:21:42.126351,205.210.31.135,United States,httpd,0,0,0,0.0,1,1,0,0,0,0,0,,,,
77.90.185.21-2026-09-07T01:32:28.505069,dionaea,2026-09-07T01:32:28.505069,77.90.185.21,Germany,mysqld,123,0,0,84.788,124,1,0,0,0,0,0,,,,
115.224.103.213-2026-09-07T05:30:17.640059,dionaea,2026-09-07T05:30:17.640059,115.224.103.213,China,smbd,0,0,0,1589.845,1506,1,0,0,0,0,0,,,,
77.90.185.21-2026-09-07T09:02:28.507793,dionaea,2026-09-07T09:02:28.507793,77.90.185.21,Germany,mysqld,124,0,0,59.759,124,1,0,0,0,0,0,,,,
2.145.94.77-2026-09-07T13:07:08.795457,dionaea,2026-09-07T13:07:08.795457,2.145.94.77,Iran,smbd,0,0,0,188.403,5,1,0,0,0,0,0,,,,
34.18.229.148-2026-09-07T14:53:42.220581,dionaea,2026-09-07T14:53:42.220581,34.18.229.148,Qatar,httpd,0,0,0,31.221,31,1,0,0,0,0,0,,,,
77.90.185.21-2026-09-07T16:33:56.333814,dionaea,2026-09-07T16:33:56.333814,77.90.185.21,Germany,mysqld,121,0,0,86.054,122,1,0,0,0,0,0,,,,
40.119.28.169-2026-09-07T16:54:36.528924,dionaea,2026-09-07T16:54:36.528924,40.119.28.169,United States,httpd,0,0,0,0.0,1,1,0,0,0,0,0,,,,
13.58.176.122-2026-09-07T18:52:21.468611,dionaea,2026-09-07T18:52:21.468611,13.58.176.122,United States,smbd,0,0,0,226.582,6,1,0,0,0,0,0,,,,
45.186.208.123-2026-09-07T19:19:51.863596,dionaea,2026-09-07T19:19:51.863596,45.186.208.123,Venezuela,mysqld,1,0,0,0.0,1,1,0,0,0,0,0,,,,
66.132.172.35-2026-09-07T19:30:21.793336,dionaea,2026-09-07T19:30:21.793336,66.132.172.35,United States,smbd,0,0,0,64.979,3,2,0,0,0,0,0,,,,
115.224.103.213-2026-09-07T20:33:18.283126,dionaea,2026-09-07T20:33:18.283126,115.224.103.213,China,smbd,0,0,0,655.439,892,1,0,0,0,0,0,,,,
205.210.31.158-2026-09-07T20:50:20.993730,dionaea,2026-09-07T20:50:20.993730,205.210.31.158,United States,ftpd,0,0,0,0.0,1,1,0,0,0,0,0,,,,
66.132.172.141-2026-09-07T20:58:00.420531,dionaea,2026-09-07T20:58:00.420531,66.132.172.141,United States,epmapper,0,0,0,0.0,1,1,0,0,0,0,0,,,,
20.29.29.215-2026-09-07T22:40:11.415982,dionaea,2026-09-07T22:40:11.415982,20.29.29.215,United States,httpd,0,0,0,0.0,1,1,0,0,0,0,0,,,,
18.218.118.203-2026-09-07T23:32:43.002570,dionaea,2026-09-07T23:32:43.002570,18.218.118.203,United States,ftpd,0,0,0,0.0,1,1,0,0,0,0,0,,,,
77.90.185.21-2026-09-08T00:05:33.574022,dionaea,2026-09-08T00:05:33.574022,77.90.185.21,Germany,mysqld,123,0,0,59.549,123,1,0,0,0,0,0,,,,
123.88.27.199-2026-09-08T03:31:25.212663,dionaea,2026-09-08T03:31:25.212663,123.88.27.199,China,mssqld,10,0,0,8.448,11,1,0,0,0,0,0,,,,
